## start manuelle nett
151.216.165.0/26 2a02:ed02:165a::/64 e3-2
151.216.139.192/26 2a02:ed02:139d::/64 e25-4
151.216.140.0/26 2a02:ed02:140a::/64 e27-1
151.216.140.64/26 2a02:ed02:140b::/64 e27-2
151.216.140.128/26 2a02:ed02:140c::/64 e27-3
151.216.140.192/26 2a02:ed02:140d::/64 e27-4
151.216.141.0/26 2a02:ed02:141a::/64 e27-1
151.216.141.64/26 2a02:ed02:141b::/64 e27-2
151.216.141.128/26 2a02:ed02:141c::/64 e29-1
151.216.141.192/26 2a02:ed02:141d::/64 e29-2
151.216.142.0/26 2a02:ed02:142a::/64 e31-1
151.216.142.64/26 2a02:ed02:142b::/64 e31-2
151.216.142.128/26 2a02:ed02:142c::/64 e33-1
151.216.142.192/26 2a02:ed02:142d::/64 e33-2
151.216.143.0/26 2a02:ed02:143a::/64 e35-1
151.216.143.64/26 2a02:ed02:143b::/64 e35-2
151.216.143.128/26 2a02:ed02:143c::/64 e37-1
151.216.143.192/26 2a02:ed02:143d::/64 e37-2
151.216.144.0/26 2a02:ed02:144a::/64 e39-1
151.216.144.64/26 2a02:ed02:144b::/64 e39-2
151.216.144.128/26 2a02:ed02:144c::/64 e41-1
151.216.144.192/26 2a02:ed02:144d::/64 e41-2
151.216.145.0/26 2a02:ed02:145a::/64 e43-1
151.216.145.64/26 2a02:ed02:145b::/64 e43-2
151.216.145.128/26 2a02:ed02:145c::/64 e45-1
151.216.145.192/26 2a02:ed02:145d::/64 e45-2
151.216.146.0/26 2a02:ed02:146a::/64 e45-3
151.216.146.64/26 2a02:ed02:146b::/64 e45-4
151.216.146.128/26 2a02:ed02:146c::/64 e47-1
151.216.146.192/26 2a02:ed02:146d::/64 e47-2
151.216.147.0/26 2a02:ed02:147a::/64 e47-3
151.216.147.64/26 2a02:ed02:147b::/64 e47-4
151.216.147.128/26 2a02:ed02:147c::/64 e49-1
151.216.147.192/26 2a02:ed02:147d::/64 e49-2
151.216.148.0/26 2a02:ed02:148a::/64 e49-3
151.216.148.64/26 2a02:ed02:148b::/64 e49-4
151.216.148.128/26 2a02:ed02:148c::/64 e51-1
151.216.148.192/26 2a02:ed02:148d::/64 e51-2
151.216.149.0/26 2a02:ed02:149a::/64 e51-3
151.216.149.64/26 2a02:ed02:149b::/64 e51-4
151.216.149.128/26 2a02:ed02:149c::/64 e53-1
151.216.149.192/26 2a02:ed02:149d::/64 e53-2
151.216.150.0/26 2a02:ed02:150a::/64 e53-3
151.216.150.64/26 2a02:ed02:150b::/64 e53-4
151.216.150.128/26 2a02:ed02:150c::/64 e55-1
151.216.150.192/26 2a02:ed02:150d::/64 e55-2
151.216.151.0/26 2a02:ed02:151a::/64 e55-3
151.216.151.64/26 2a02:ed02:151b::/64 e55-4
151.216.151.128/26 2a02:ed02:151c::/64 e57-1
151.216.151.192/26 2a02:ed02:151d::/64 e57-2
151.216.152.0/26 2a02:ed02:152a::/64 e57-3
151.216.152.64/26 2a02:ed02:152b::/64 e57-4
151.216.152.128/26 2a02:ed02:152c::/64 e59-1
151.216.152.192/26 2a02:ed02:152d::/64 e59-2
151.216.153.0/26 2a02:ed02:153a::/64 e59-3
151.216.153.64/26 2a02:ed02:153b::/64 e59-4
151.216.153.128/26 2a02:ed02:153c::/64 e61-1
151.216.153.192/26 2a02:ed02:153d::/64 e61-2
151.216.154.0/26 2a02:ed02:154a::/64 e61-3
151.216.154.64/26 2a02:ed02:154b::/64 e61-4
151.216.154.128/26 2a02:ed02:154c::/64 e63-1
151.216.154.192/26 2a02:ed02:154d::/64 e63-2
151.216.155.0/26 2a02:ed02:155a::/64 e63-3
151.216.155.64/26 2a02:ed02:155b::/64 e63-4
151.216.155.128/26 2a02:ed02:155c::/64 e65-1
151.216.155.192/26 2a02:ed02:155d::/64 e65-2
151.216.156.0/26 2a02:ed02:156a::/64 e65-3
151.216.156.64/26 2a02:ed02:156b::/64 e65-4
151.216.156.128/26 2a02:ed02:156c::/64 e67-1
151.216.156.192/26 2a02:ed02:156d::/64 e67-2
151.216.157.0/26 2a02:ed02:157a::/64 e67-3
151.216.157.64/26 2a02:ed02:157b::/64 e67-4
151.216.157.128/26 2a02:ed02:157c::/64 e69-1
151.216.157.192/26 2a02:ed02:157d::/64 e69-2
151.216.158.0/26 2a02:ed02:158a::/64 e69-3
151.216.158.64/26 2a02:ed02:158b::/64 e69-4
151.216.158.128/26 2a02:ed02:158c::/64 e71-1
151.216.158.192/26 2a02:ed02:158d::/64 e71-2
151.216.159.0/26 2a02:ed02:159a::/64 e71-3
151.216.159.64/26 2a02:ed02:159b::/64 e71-4
151.216.159.128/26 2a02:ed02:159c::/64 e73-1
151.216.159.192/26 2a02:ed02:159d::/64 e73-2
151.216.160.0/26 2a02:ed02:160a::/64 e73-3
151.216.160.64/26 2a02:ed02:160b::/64 e73-4
151.216.160.128/26 2a02:ed02:160c::/64 e75-1
151.216.160.192/26 2a02:ed02:160d::/64 e75-2
151.216.161.0/26 2a02:ed02:161a::/64 e75-3
151.216.161.64/26 2a02:ed02:161b::/64 e75-4
151.216.161.128/26 2a02:ed02:161c::/64 e77-1
151.216.161.192/26 2a02:ed02:161d::/64 e77-2
151.216.162.0/26 2a02:ed02:162a::/64 e77-3
151.216.162.64/26 2a02:ed02:162b::/64 e77-4
151.216.162.128/26 2a02:ed02:162c::/64 e79-1
151.216.162.192/26 2a02:ed02:162d::/64 e79-2
151.216.163.0/26 2a02:ed02:163a::/64 e79-3
151.216.163.64/26 2a02:ed02:163b::/64 e79-4
151.216.163.128/26 2a02:ed02:163c::/64 e81-1
151.216.163.192/26 2a02:ed02:163d::/64 e81-2
151.216.164.0/26 2a02:ed02:164a::/64 e83-1
151.216.164.64/26 2a02:ed02:164b::/64 e83-2
## slutt switches.txt
